,business_id,name,city,avg_stars,review_count,attributes,categories,delivery or takeout,Covid Banner,Temporary Closed Until,Virtual Services Offered
0,0QjROMVW9ACKjhSEfHqNCQ,Mi Mi Restaurant,Toronto,4.0,116,"{'RestaurantsTakeOut': 'True', 'Alcohol': ""u'beer_and_wine'"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'NoiseLevel': ""u'average'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'no'"", 'BikeParking': 'True', 'RestaurantsTableService': 'True', 'HasTV': 'True', 'Caters': 'False'}","Vietnamese, Restaurants",TRUE,FALSE,FALSE,FALSE
1,GtQPbazps0jt7_cJghfmsA,The Market by Longo's,Toronto,2.5,41,"{'RestaurantsPriceRange2': '3', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}","Food, Grocery",TRUE,FALSE,FALSE,FALSE
2,8k62wYhDVq1-652YbJi5eg,Tim Hortons,Toronto,3.0,8,"{'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'BikeParking': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Bagels, Donuts, Food, Cafes, Coffee & Tea, Restaurants, Bakeries",TRUE,FALSE,FALSE,FALSE
3,PYLv9n0y8MimzTK2zCBoFw,GIG@bites Internet Cafe,Toronto,3.0,4,"{'RestaurantsPriceRange2': '1', 'BikeParking': 'True'}","Home Services, Shopping, IT Services & Computer Repair, Internet Cafes, Food, Local Services, Computers, Internet Service Providers, Professional Services",FALSE,FALSE,FALSE,FALSE
4,0DnQh8SE8BSnvJltGCCiWg,Chick-N-Joy,Toronto,3.0,11,"{'NoiseLevel': ""'loud'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'Alcohol': ""'none'"", 'DriveThru': 'False', 'Caters': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""'no'"", 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'HasTV': 'True'}","Fast Food, Restaurants, Chicken Shop",TRUE,FALSE,FALSE,FALSE
5,NLaK58WvlNQdUunSIkt-jA,Zav Coffee Shop & Gallery,Toronto,4.5,24,"{'DogsAllowed': 'False', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'WiFi': ""u'free'""}","Coffee & Tea, Restaurants, Sandwiches, Food",TRUE,FALSE,FALSE,FALSE
6,cicPsia8Wj-DNRkmLbD_xg,The Keg Steakhouse + Bar,Toronto,3.5,91,"{'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '3', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'loud'"", 'OutdoorSeating': 'False', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsReservations': 'True', 'Caters': 'False', 'HappyHour': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForDancing': 'False', 'WiFi': ""'free'"", 'RestaurantsDelivery': 'False', 'RestaurantsTableService': 'True'}","Steakhouses, Restaurants, Nightlife, Seafood, Bars",TRUE,FALSE,FALSE,FALSE
7,0nqQIM2PvOcTX6v0L537_Q,Fearless Meat,Toronto,4.0,17,"{'HasTV': 'False', 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'Alcohol': ""u'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'BikeParking': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'Caters': 'True'}","Fast Food, Burgers, Sandwiches, Restaurants",TRUE,FALSE,FALSE,FALSE
8,tdtU7pk3swBuGYBQgyLgTw,LCBO,Toronto,4.0,7,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Beer, Wine & Spirits, Food",TRUE,FALSE,FALSE,FALSE
9,xVXyrTWbG8U3szze-aA7eg,St. Louis Bar & Grill,Toronto,2.0,34,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'WiFi': ""'free'"", 'HasTV': 'True', 'BikeParking': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForDancing': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': 'None'}","Nightlife, Sports Bars, Bars, Restaurants, American (Traditional), Chicken Wings",TRUE,FALSE,FALSE,FALSE
